"model_id","horizon","wis","ae_median","interval_coverage_50","interval_coverage_95","wis_relative_skill","wis_scaled_relative_skill","ae_median_relative_skill","ae_median_scaled_relative_skill"
"CADPH-FluCAT_Ensemble",0,202.841189163582,372.92434135282,0.666666666666667,1,0.534587535102788,0.458632818236526,0.691236645390791,0.653234920541818
"CADPH-FluCAT_Ensemble",1,369.867656653872,647.941331838142,0.6,1,0.561921068999711,0.440857629196696,0.705632202463567,0.596586374333499
"CADPH-FluCAT_Ensemble",2,520.634705091686,984.803971261885,0.5,1,0.537879951125729,0.418404739957088,0.74497061152671,0.618970247763561
"CADPH-FluCAT_Ensemble",3,669.516119543884,1303.28556439059,0.333333333333333,1,0.513352289168477,0.403452604636402,0.732089838726757,0.611045238328892
"CEPH-Rtrend_fluH",0,82.884976309922,100.038461538462,0.185897435897436,0.461538461538462,0.906562564096433,0.777757273370271,0.823124506388163,0.777872057437738
"CEPH-Rtrend_fluH",1,128.934361204013,162.557692307692,0.196153846153846,0.565384615384615,0.825042431128392,0.647290643188409,0.804000431529074,0.679753135888472
"CEPH-Rtrend_fluH",2,158.812972408027,208.716346153846,0.206730769230769,0.610576923076923,0.758397332424915,0.589940260820808,0.776152589275861,0.64487827177755
"CEPH-Rtrend_fluH",3,225.170228539576,307.576923076923,0.179487179487179,0.641025641025641,0.807639965182887,0.634738471877253,0.869004342778274,0.725322136235771
"CMU-TimeSeries",0,81.4331707928831,118.233482999831,0.506410256410256,0.919871794871795,0.90494084802137,0.776365972292249,0.986628998621328,0.932387655973141
"CMU-TimeSeries",1,137.794229055543,204.138125078784,0.480769230769231,0.853846153846154,0.885405778467945,0.694648971015241,1.0250218134328,0.866618679183932
"CMU-TimeSeries",2,178.48714527994,273.591569546967,0.456730769230769,0.802884615384615,0.853819652387907,0.664167141533983,1.02623897909869,0.852666380832885
"CMU-TimeSeries",3,219.014178437798,339.89351911775,0.391025641025641,0.75,0.782979211058139,0.615357150913352,0.967765620655989,0.807754107540563
"CMU-climate_baseline",0,135.685845814073,194.268745595409,0.57051282051282,0.875,1.55558490836738,1.3345658918021,1.66395473650258,1.57247644107458
"CMU-climate_baseline",1,148.056664166319,218.024207342188,0.592307692307692,0.880769230769231,0.945208894844271,0.741567767192742,1.08165911799556,0.914503461175386
"CMU-climate_baseline",2,172.782805759309,257.654148540395,0.576923076923077,0.850961538461538,0.82080805205246,0.638488158658691,0.966638329806649,0.803146268108491
"CMU-climate_baseline",3,211.577968924842,322.834642520343,0.467948717948718,0.807692307692308,0.754647919697852,0.593091090094698,0.924617514062174,0.771740159958784
"CU-ensemble",0,85.4836636008919,123.673076923077,0.349358974358974,0.814102564102564,0.95839993971019,0.822229544245707,1.04457371314518,0.987146776804193
"CU-ensemble",1,154.003598662207,205.030769230769,0.234615384615385,0.615384615384615,1.0030106692881,0.78691640181509,1.03083247456814,0.871531381930646
"CU-ensemble",2,220.264257943144,276.192307692308,0.1875,0.485576923076923,1.06504805651062,0.828476975565806,1.03984466689735,0.863970875020205
"CU-ensemble",3,286.711571906354,353.339743589744,0.134615384615385,0.384615384615385,1.03614664091402,0.814325892535032,1.00979516310691,0.842834435698703
"FluSight-baseline",0,105.058391861761,127.669871794872,0.105769230769231,0.631410256410256,1.16561116833791,1,1.05817466833747,1
"FluSight-baseline",1,195.978702341137,235.769230769231,0.111538461538462,0.530769230769231,1.27460892538847,1,1.18278296793468,1
"FluSight-baseline",2,268.344318561873,323.350961538462,0.0625,0.427884615384615,1.28554937303266,1,1.20356449153801,1
"FluSight-baseline",3,356.51124303233,425.339743589744,0.0192307692307692,0.282051282051282,1.27239800479444,1,1.19809433541926,1
"FluSight-ensemble",0,81.9867558528428,111.394230769231,0.259615384615385,0.663461538461538,0.902695085271163,0.774439289697565,0.925404417965548,0.874528984349511
"FluSight-ensemble",1,154.568102006689,199.838461538462,0.153846153846154,0.511538461538461,0.997048906631582,0.7822390748815,0.999649490638223,0.845167302657192
"FluSight-ensemble",2,219.831191471572,279.461538461538,0.0865384615384615,0.365384615384615,1.04992168849789,0.816710513436818,1.04186587280125,0.865650224916381
"FluSight-ensemble",3,310.050955964326,377.288461538462,0.0576923076923077,0.230769230769231,1.10609477000095,0.869299359031644,1.06542033980879,0.889262479849685
"FluSight-lop_norm",0,76.5918004459309,115.913461538462,0.330128205128205,0.903846153846154,0.848794099344233,0.728196608269084,0.966364037051036,0.913236789696847
"FluSight-lop_norm",1,138.109919732441,202.326923076923,0.196153846153846,0.776923076923077,0.890480536668054,0.698630394728057,1.01167863304226,0.855337505247312
"FluSight-lop_norm",2,189.170549749164,281.899038461538,0.134615384615385,0.75,0.90202897407589,0.701668090699595,1.04930157866834,0.871828295073295
"FluSight-lop_norm",3,258.768890746934,379.884615384615,0.0833333333333333,0.673076923076923,0.919964647511115,0.72301641785405,1.07177038560921,0.894562601561885
"FluSight-trained_mean",0,124.743190329747,186.179916719459,0.211538461538462,0.788461538461538,0.73801198581646,0.633154525165384,0.812501241647772,0.767832821895385
"FluSight-trained_med",0,146.841712952224,210.254782237644,0.211538461538462,0.615384615384615,0.871271607787405,0.747480490453588,0.939804344688077,0.888137254471072
"Gatech-ensemble_point",0,80.2547519509476,104.964743589744,0.294871794871795,0.647435897435897,0.877353981531178,0.752698674620824,0.862408522981914,0.814996378940794
"Gatech-ensemble_point",1,186.276443143813,224.507692307692,0.0692307692307692,0.330769230769231,1.2070305387514,0.946981081576468,1.12338266019277,0.949779199267948
"Gatech-ensemble_point",2,284.600802675585,327.086538461538,0.0144230769230769,0.115384615384615,1.35859580083208,1.05682117648045,1.21785186126618,1.01187088006386
"Gatech-ensemble_point",3,386.957068004459,430.865384615385,0,0.0576923076923077,1.37466300843797,1.08037186733883,1.21382753958462,1.01313185756767
"Gatech-ensemble_prob",0,130.965716276477,153.522435897436,0.128205128205128,0.355769230769231,1.44856940826346,1.24275525802402,1.27271951397339,1.20274993538921
"Gatech-ensemble_prob",1,269.778015050167,293.146153846154,0.0346153846153846,0.115384615384615,1.760833298708,1.38146945595201,1.47485280122515,1.24693442601771
"Gatech-ensemble_prob",2,344.409828595318,372.293269230769,0.00480769230769231,0.0528846153846154,1.64871981119901,1.28250213160589,1.39049918471161,1.15531755422155
"Gatech-ensemble_prob",3,440.162377369008,466.801282051282,0.00641025641025641,0.0192307692307692,1.56692628183401,1.23147495982372,1.31859177273806,1.10057424841812
"ISU_NiemiLab-GPE",0,116.905931186573,145.294812100234,0.176282051282051,0.458333333333333,1.26961861326978,1.08922996601017,1.18843771990659,1.1231016536937
"ISU_NiemiLab-GPE",1,193.61914271661,245.24751078327,0.168269230769231,0.471153846153846,1.06533562087444,0.835813714822172,1.04817045553298,0.886190014524169
"ISU_NiemiLab-GPE",2,179.975990802529,237.306427624287,0.326923076923077,0.641025641025641,0.697918169608031,0.542894877667447,0.725019956075841,0.602393939978531
"ISU_NiemiLab-GPE",3,167.90049146141,241.316690467369,0.375,0.75,0.474914686164494,0.373243815516057,0.549058622934019,0.458276620381384
"JHUAPL-DMD",0,67.3982392744549,101.205139130179,0.567307692307692,0.913461538461538,0.752463750659652,0.645552969205517,0.845795155058084,0.799296354718961
"JHUAPL-DMD",1,106.836036372919,163.726163256688,0.407692307692308,0.857692307692308,0.681731712035873,0.534855592532506,0.810663342186447,0.685386384623029
"JHUAPL-DMD",2,141.522661423472,222.891999571197,0.317307692307692,0.9375,0.664387419267168,0.516812059656527,0.81559564433702,0.677650138460619
"JHUAPL-DMD",3,199.963399803087,330.061254246737,0.211538461538462,0.974358974358974,0.701250662667445,0.551125245422509,0.917526416220188,0.765821512626641
"JHU_CSSE-CSSE_Ensemble",0,59.4547604461495,83.1735294117647,0.349019607843137,0.682352941176471,0.894511670513518,0.767418582466942,0.901325618846542,0.851773951707464
