"model_id","reference_date","wis","ae_median","interval_coverage_50","interval_coverage_95","wis_relative_skill","wis_scaled_relative_skill","ae_median_relative_skill","ae_median_scaled_relative_skill"
"CADPH-FluCAT_Ensemble",2024-12-28,417.809642951443,690.64722134475,0.5,1,0.622436886253674,0.494815687837295,0.725445043942997,0.644347592834684
"CADPH-FluCAT_Ensemble",2025-01-04,105.787715787084,160.00158844615,1,1,0.388209389663559,0.358241060799217,0.526322850845644,0.548986917201626
"CEPH-Rtrend_fluH",2024-12-28,266.326329431438,313.105769230769,0.0288461538461538,0.115384615384615,1.03704939832854,0.824418222454211,0.96280637126763,0.855174313853251
"CEPH-Rtrend_fluH",2025-01-04,136.399765886288,174.442307692308,0.153846153846154,0.480769230769231,0.809474418046574,0.746985987284209,0.783116316007017,0.816838203859535
"CMU-TimeSeries",2024-12-28,243.711581861856,346.734635288619,0.0673076923076923,0.721153846153846,0.936939561973509,0.744834382503081,1.06109235320558,0.942472912692515
"CMU-TimeSeries",2025-01-04,162.060840695496,224.040828037131,0.173076923076923,0.769230769230769,0.963254623326529,0.888894929561871,1.00031520411853,1.0433899255117
"CMU-climate_baseline",2024-12-28,251.84246684031,391.497456138963,0.298076923076923,0.740384615384615,1.00068704378059,0.795511414592425,1.23342676990852,1.09554207691418
"CMU-climate_baseline",2025-01-04,355.757721257711,506.454361511573,0.0384615384615385,0.442307692307692,2.18217260566468,2.01371695253895,2.33938231159957,2.44011880034771
"CU-ensemble",2024-12-28,262.342901337793,349.394230769231,0.0384615384615385,0.432692307692308,1.01111711489319,0.803802958563786,1.072735271909,0.95281427032223
"CU-ensemble",2025-01-04,175.907617056856,259.884615384615,0.153846153846154,0.653846153846154,1.05960526198799,0.977807655327413,1.18356553669598,1.23453122784397
"FluSight-baseline",2024-12-28,326.114644648829,368.778846153846,0.0384615384615385,0.134615384615385,1.25791663755484,1,1.1258597874969,1
"FluSight-baseline",2025-01-04,183.679548494983,215.461538461538,0.0576923076923077,0.269230769230769,1.08365408699238,1,0.958716563827226,1
"FluSight-ensemble",2024-12-28,265.578248327759,328.471153846154,0.0384615384615385,0.201923076923077,1.01627094922591,0.807900077704161,1.00271727443005,0.890623579921412
"FluSight-ensemble",2025-01-04,149.899623745819,210.115384615385,0.173076923076923,0.576923076923077,0.883274656673212,0.815089120481876,0.932156489253751,0.972296218115345
